runid: 21342433
CPUs available: 56
Disorder: (0.0005, 20)
Disorder size: 20
Unoptimised score: 23.859797049631403
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=367173, Sat Mar 29 13:18:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  129   7224 1.936749952628350e+01 1.7e+03 8.82e-03  7e-06  1e-04 1381:43.6
  130   7280 1.936749873232502e+01 1.7e+03 8.98e-03  6e-06  1e-04 1392:26.4
  131   7336 1.936749895536634e+01 1.9e+03 7.96e-03  5e-06  1e-04 1403:06.3
  132   7392 1.936750073977337e+01 1.9e+03 6.73e-03  4e-06  1e-04 1413:48.6
  133   7448 1.936749857081702e+01 2.1e+03 6.93e-03  4e-06  1e-04 1424:32.1
  134   7504 1.936749859694536e+01 2.3e+03 7.08e-03  4e-06  1e-04 1435:17.0
  135   7560 1.936749687864132e+01 2.5e+03 6.82e-03  4e-06  1e-04 1445:57.4
termination on timeout=86400
final/bestever f-value = 1.936750e+01 1.936750e+01 after 7560/7556 evaluations
incumbent solution: [0.9262627490196337, -0.09272160699746125, -0.023228315878335144, -0.04035064571577975, -0.7821510229516128, -0.15334049859591173, 0.1299124580247299, -0.3857148321178468]
std deviation: [2.3037350603893546e-05, 3.678151256669614e-06, 5.6864190079094896e-05, 7.21210166187218e-05, 0.00010334521978158812, 6.308842197956079e-06, 3.307447865627227e-05, 6.959552356901051e-05]
