CPUs available: 56
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=648028, Thu Mar 20 18:26:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  146   8176 1.788503205614828e+01 3.5e+04 1.48e-03  8e-07  5e-05 1542:37.1
  147   8232 1.788503205772377e+01 3.8e+04 1.38e-03  7e-07  5e-05 1553:08.9
  148   8288 1.788503205412493e+01 4.0e+04 1.28e-03  6e-07  4e-05 1563:45.0
  149   8344 1.788503205186302e+01 4.4e+04 1.24e-03  6e-07  4e-05 1574:21.2
  150   8400 1.788503205434560e+01 4.8e+04 1.16e-03  6e-07  4e-05 1584:55.8
  151   8456 1.788503204614772e+01 5.0e+04 1.02e-03  5e-07  3e-05 1595:32.9
  152   8512 1.788503204736792e+01 5.6e+04 1.07e-03  5e-07  3e-05 1606:09.5
  153   8568 1.788503204854587e+01 5.9e+04 1.03e-03  4e-07  3e-05 1616:43.3
  154   8624 1.788503204666951e+01 6.3e+04 1.04e-03  5e-07  3e-05 1627:18.2
  155   8680 1.788503204491551e+01 6.9e+04 1.03e-03  4e-07  3e-05 1637:52.1
  156   8736 1.788503204408927e+01 7.3e+04 1.02e-03  4e-07  3e-05 1648:25.2
  157   8792 1.788503204391076e+01 8.5e+04 9.72e-04  4e-07  3e-05 1659:03.0
  158   8848 1.788503204429078e+01 9.5e+04 9.07e-04  3e-07  3e-05 1669:35.3
  159   8904 1.788503204412175e+01 1.1e+05 8.41e-04  3e-07  2e-05 1680:13.5
  160   8960 1.788503204269065e+01 1.0e+05 7.62e-04  3e-07  2e-05 1690:47.0
  161   9016 1.788503204196054e+01 1.1e+05 7.11e-04  2e-07  2e-05 1701:20.3
  162   9072 1.788503204169491e+01 1.1e+05 6.11e-04  2e-07  1e-05 1711:50.4
  163   9128 1.788503204213702e+01 1.2e+05 5.30e-04  2e-07  1e-05 1722:24.2
  164   9184 1.788503204159680e+01 1.3e+05 5.03e-04  2e-07  1e-05 1732:60.0
  165   9240 1.788503204177940e+01 1.5e+05 4.43e-04  1e-07  9e-06 1743:36.4
  166   9296 1.788503204153025e+01 1.6e+05 4.27e-04  1e-07  8e-06 1754:10.1
  167   9352 1.788503204140375e+01 1.8e+05 4.21e-04  1e-07  7e-06 1764:39.9
  168   9408 1.788503204147577e+01 1.9e+05 4.24e-04  1e-07  7e-06 1775:15.5
  169   9464 1.788503204137465e+01 2.0e+05 3.93e-04  1e-07  6e-06 1785:47.3
  170   9520 1.788503204132251e+01 2.1e+05 3.40e-04  9e-08  5e-06 1796:19.1
  171   9576 1.788503204110016e+01 2.3e+05 3.34e-04  8e-08  5e-06 1806:54.6
  172   9632 1.788503204120027e+01 2.6e+05 2.66e-04  6e-08  4e-06 1817:28.1
  173   9688 1.788503204108261e+01 2.8e+05 2.66e-04  6e-08  4e-06 1828:03.6
  174   9744 1.788503204107630e+01 2.9e+05 2.38e-04  5e-08  3e-06 1838:39.1
  175   9800 1.788503204103412e+01 3.1e+05 2.23e-04  5e-08  3e-06 1849:12.8
  176   9856 1.788503204100216e+01 3.5e+05 2.34e-04  5e-08  3e-06 1859:45.0
  177   9912 1.788503204104115e+01 3.6e+05 2.42e-04  6e-08  3e-06 1870:21.9
  178   9968 1.788503204104834e+01 3.9e+05 2.46e-04  5e-08  3e-06 1880:58.7
  179  10024 1.788503204098712e+01 4.0e+05 2.13e-04  4e-08  3e-06 1891:33.7
  180  10080 1.788503204095765e+01 4.4e+05 2.09e-04  4e-08  2e-06 1902:07.8
  181  10136 1.788503204097500e+01 4.9e+05 1.88e-04  3e-08  2e-06 1912:40.3
  182  10192 1.788503204094215e+01 4.9e+05 1.71e-04  3e-08  2e-06 1923:12.8
  183  10248 1.788503204097270e+01 5.5e+05 1.68e-04  3e-08  2e-06 1933:48.8
  184  10304 1.788503204096940e+01 6.3e+05 1.82e-04  4e-08  2e-06 1944:20.1
  185  10360 1.788503204094745e+01 7.0e+05 1.77e-04  4e-08  2e-06 1954:54.5
  186  10416 1.788503204094553e+01 7.9e+05 1.52e-04  3e-08  2e-06 1965:27.7
  187  10472 1.788503204095333e+01 9.1e+05 1.49e-04  3e-08  2e-06 1976:04.6
  188  10528 1.788503204093211e+01 9.4e+05 1.48e-04  3e-08  2e-06 1986:40.8
  189  10584 1.788503204093178e+01 1.1e+06 1.41e-04  3e-08  2e-06 1997:15.3
/cluster/home/jacobdb/anaconda_env_kwant/lib/python3.12/site-packages/cma/utilities/utils.py:343: UserWarning: 
        geno-pheno transformation introduced based on the
        current covariance matrix with condition 1.3e+12 -> 1.0e+00,
        injected solutions become "invalid" in this iteration (class=CMAEvolutionStrategy method=alleviate_conditioning iteration=189)
  warnings.warn(msg + ' (' +
  190  10640 1.788503204094619e+01 1.0e+00 1.22e-04  1e-04  1e-04 2007:46.4
  191  10696 1.788503204093488e+01 1.3e+00 1.30e-04  1e-04  1e-04 2018:24.2
  192  10752 1.788503204093443e+01 1.7e+00 1.48e-04  1e-04  2e-04 2028:56.8
  193  10808 1.788503204093245e+01 1.9e+00 1.53e-04  1e-04  2e-04 2039:27.1
  194  10864 1.788503204093251e+01 2.0e+00 1.31e-04  9e-05  1e-04 2050:02.6
  195  10920 1.788503204093281e+01 2.2e+00 1.12e-04  7e-05  1e-04 2060:34.2
