CPUs available: 56
Disorder: (0.0005, 30)
Disorder size: 30
Unoptimised score: 23.10418081243911
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=976475, Tue Mar 25 04:17:24 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  140   7840 1.775239086965045e+01 2.1e+03 2.41e-03  4e-07  2e-05 1681:07.4
  141   7896 1.775239084317013e+01 2.2e+03 2.57e-03  5e-07  2e-05 1693:06.9
  142   7952 1.775239079792406e+01 2.4e+03 2.63e-03  5e-07  2e-05 1705:07.0
  143   8008 1.775239081706123e+01 2.8e+03 2.54e-03  5e-07  2e-05 1717:08.7
  144   8064 1.775239071423095e+01 3.2e+03 2.27e-03  4e-07  2e-05 1729:08.2
  145   8120 1.775239069249644e+01 3.4e+03 2.51e-03  5e-07  2e-05 1741:06.5
  146   8176 1.775239070103042e+01 3.9e+03 2.26e-03  4e-07  2e-05 1753:07.8
  147   8232 1.775239065257624e+01 3.8e+03 1.81e-03  3e-07  1e-05 1765:09.1
  148   8288 1.775239059126401e+01 3.9e+03 1.85e-03  3e-07  1e-05 1777:09.8
  149   8344 1.775239053962150e+01 4.0e+03 1.76e-03  2e-07  1e-05 1789:09.4
  150   8400 1.775239056467898e+01 4.3e+03 1.65e-03  2e-07  1e-05 1801:10.6
  151   8456 1.775239056243172e+01 4.6e+03 1.67e-03  2e-07  1e-05 1813:10.2
  152   8512 1.775239053468410e+01 4.8e+03 1.54e-03  2e-07  1e-05 1825:09.0
  153   8568 1.775239053222593e+01 5.3e+03 1.44e-03  2e-07  9e-06 1837:08.9
  154   8624 1.775239053041310e+01 5.6e+03 1.22e-03  1e-07  8e-06 1849:12.0
  155   8680 1.775239053657673e+01 6.2e+03 1.19e-03  1e-07  8e-06 1861:12.2
  156   8736 1.775239053267024e+01 6.8e+03 1.22e-03  2e-07  8e-06 1873:11.3
  157   8792 1.775239051729132e+01 7.3e+03 1.11e-03  1e-07  7e-06 1885:10.6
  158   8848 1.775239049609003e+01 8.1e+03 1.04e-03  1e-07  7e-06 1897:09.9
  159   8904 1.775239049622363e+01 8.4e+03 8.88e-04  1e-07  6e-06 1909:10.2
  160   8960 1.775239048877292e+01 8.3e+03 8.17e-04  1e-07  5e-06 1921:08.0
  161   9016 1.775239048007894e+01 9.2e+03 8.64e-04  1e-07  6e-06 1933:06.6
  162   9072 1.775239048584685e+01 1.1e+04 8.89e-04  1e-07  6e-06 1945:08.4
  163   9128 1.775239048032394e+01 1.1e+04 7.77e-04  1e-07  6e-06 1957:08.3
  164   9184 1.775239047954029e+01 1.3e+04 6.97e-04  9e-08  5e-06 1969:11.0
  165   9240 1.775239047446052e+01 1.3e+04 6.46e-04  8e-08  4e-06 1981:11.2
  166   9296 1.775239047021960e+01 1.4e+04 5.53e-04  7e-08  4e-06 1993:11.3
  167   9352 1.775239046889826e+01 1.5e+04 5.60e-04  6e-08  3e-06 2005:10.5
  168   9408 1.775239046629176e+01 1.5e+04 5.66e-04  7e-08  3e-06 2017:09.2
  169   9464 1.775239046555340e+01 1.7e+04 5.63e-04  7e-08  4e-06 2029:11.4
  170   9520 1.775239046271857e+01 1.8e+04 5.51e-04  7e-08  4e-06 2041:10.5
  171   9576 1.775239046294990e+01 2.2e+04 4.61e-04  6e-08  3e-06 2053:10.0
  172   9632 1.775239046208013e+01 2.4e+04 4.58e-04  6e-08  3e-06 2065:09.9
  173   9688 1.775239046291822e+01 2.6e+04 4.30e-04  5e-08  3e-06 2077:11.5
  174   9744 1.775239046071780e+01 2.6e+04 3.86e-04  5e-08  2e-06 2089:09.6
  175   9800 1.775239046043535e+01 2.7e+04 3.82e-04  4e-08  2e-06 2101:11.1
  176   9856 1.775239045952598e+01 2.9e+04 3.75e-04  4e-08  2e-06 2113:11.9
  177   9912 1.775239046122680e+01 3.0e+04 3.41e-04  3e-08  2e-06 2125:15.6
  178   9968 1.775239046015846e+01 3.1e+04 3.42e-04  3e-08  2e-06 2137:16.0
  179  10024 1.775239045989608e+01 3.4e+04 3.45e-04  3e-08  2e-06 2149:20.8
  180  10080 1.775239045885707e+01 3.7e+04 3.06e-04  3e-08  2e-06 2161:19.9
  181  10136 1.775239045883959e+01 4.1e+04 2.70e-04  2e-08  1e-06 2173:19.8
  182  10192 1.775239045892184e+01 4.4e+04 2.42e-04  2e-08  1e-06 2185:21.5
  183  10248 1.775239045856998e+01 4.7e+04 2.42e-04  2e-08  1e-06 2197:21.9
  184  10304 1.775239045844895e+01 5.0e+04 2.30e-04  2e-08  1e-06 2209:24.9
