runid: 21362563
CPUs available: 56
Disorder: None
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=948390, Sat Apr  5 08:52:23 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  130   7280 1.788503960731541e+01 1.9e+03 5.38e-02  3e-05  2e-03 1391:36.1
  131   7336 1.788504292499212e+01 2.0e+03 5.37e-02  3e-05  1e-03 1402:22.9
  132   7392 1.788504159800913e+01 2.0e+03 4.89e-02  2e-05  1e-03 1413:04.0
  133   7448 1.788503975631343e+01 2.1e+03 4.51e-02  2e-05  1e-03 1423:46.8
  134   7504 1.788503871127600e+01 2.3e+03 4.35e-02  2e-05  1e-03 1434:27.6
  135   7560 1.788503797800749e+01 2.5e+03 4.54e-02  2e-05  1e-03 1445:12.9
termination on timeout=86400
final/bestever f-value = 1.788504e+01 1.788504e+01 after 7560/7556 evaluations
incumbent solution: [0.8805085146758628, 0.22243766522264088, -0.09263722997435048, 0.952305121222399, 0.31754394423032334, 0.0019972434777183546, 0.045725857830317865, -0.024451930719736642]
std deviation: [0.00013788967470843315, 1.717476663736859e-05, 0.00011627140785943274, 9.708045565718389e-05, 7.232570891855045e-05, 6.604493929983855e-05, 0.0012309548837734447, 0.0006394974005303947]
